CacheSize,LineSize,Associativity,Policy,Hits,Accesses,HitRate
256,32,fully,LRU,1750,2000,0.8750
512,32,fully,LRU,1750,2000,0.8750
1024,32,fully,LRU,1750,2000,0.8750
2048,32,fully,LRU,1750,2000,0.8750
1024,16,fully,LRU,1500,2000,0.7500
1024,32,fully,LRU,1750,2000,0.8750
1024,64,fully,LRU,1875,2000,0.9375
1024,32,direct,LRU,1750,2000,0.8750
1024,32,2way,LRU,1750,2000,0.8750
1024,32,4way,LRU,1750,2000,0.8750
1024,32,fully,LRU,1750,2000,0.8750
1024,32,fully,LRU,1750,2000,0.8750
1024,32,fully,FIFO,1750,2000,0.8750
